# Each line represents a Chinese character entry with six fields, separated by spaces.
# Fields:
# 1. Character: the Chinese character itself
# 2. Pinyin: the pronunciation of the character (in cases of 多音字, the pronunciation used in the hint is given); capitalized if part of a proper noun (e.g., yī, Shàng).
# 3. Hint: a short phrase or idiom (up to 4 characters) that helps remember or illustrate the character; the character may appear multiple times in the hint
# 4. Frequency: usage frequency from the Jun Da modern Chinese database (numerical; lower = more common)
# 5. HSK level: based on HSK 3.0 standards: numbers 1 through 6 denote HSK1–HSK6; "+" denotes HSK7–9; "n" denotes a non-HSK character
# 6. Character structure: coded number corresponding to the character's structure as sourced from Make Me a Hanzi:
#    1: ⿱ (top-bottom)  
#    2: ⿳ (top-middle-bottom)  
#    3: ⿰ (left-right)  
#    4: ⿲ (left-middle-right)  
#    5: ⿴ (enclosure)  
#    6: ⿵ (bottom enclosure)  
#    7: ⿶ (left enclosure)  
#    8: ⿸ (upper-left enclosure)  
#    9: ⿷ (upper-right enclosure)  
#    10: ⿺ (bottom-left enclosure)  
#    11: ⿹ (bottom-right enclosure)  
#    12: none (simple or single-component character)  
#    13: ⿻ (overlapping components)


碴 chā 胡子拉碴 4321 n 3
碾 niǎn 碾碎胡椒 3684 n 3
磁 cí 磁铁吸引 1771 + 3
磅 bàng 一磅黄油 2941 + 3
磊 Lěi 演员王磊 3423 + 1
磋 cuō 合同磋商 3261 + 3
磐 pán 磐石之固 3640 n 1
磕 kē 磕掉牙齿 2991 + 3
磨 mó 磨杵成针 1537 6 8
磷 lín 磷酸盐 2956 n 3
磺 huáng 硫磺 3547 n 3
礁 jiāo 珊瑚礁 2952 + 3
礴 bó 大气磅礴 4856 n 3
示 shì 表示感谢 425 2 1
礼 lǐ 毕业典礼 926 2 3
社 shè 社会主义 270 3 3
祀 sì 祭祀仪式 3123 + 3
祁 Qí 祁宏球员 3477 n 3
祈 qí 祈求平安 2443 + 3
祉 zhǐ 人民福祉 4484 n 3
祖 zǔ 保卫祖国 1025 6 3
祛 qū 祛眼袋 4176 n 3
祜 hù 拉祜族 4988 n 3
祝 zhù 祝你好运 1651 3 3
神 shén 其中精神 227 3 3
祟 suì 从中作祟 3414 n 1
祠 cí 陈家祠堂 3319 n 3
祥 xiáng 吉祥如意 1674 6 3
票 piào 买飞机票 910 1 1
祭 jì 祭祀仪式 1782 + 1
祷 dǎo 默默祈祷 2483 + 3
祸 huò 一场车祸 1870 + 3
禀 bǐng 向上禀报 2945 n 2
禁 jìn 禁止吸烟 986 4 1
禄 lù 福禄寿喜 2381 n 3
禅 chán 禅宗佛教 2196 + 3
福 fú 幸福美满 683 3 3
禧 Xǐ 慈禧太后 2085 n 3
禹 Yǔ 大禹治水 2889 n 13
离 lí 形影不离 418 2 1
禽 qín 飞禽走兽 2562 + 1
禾 hé 种植禾苗 3587 + 1
秀 xiù 优秀学生 1136 4 1
私 sī 侵犯隐私 1023 5 3
秃 tū 秃头前兆 2521 + 1
秆 gǎn 小麦秸秆 4132 n 3
秉 bǐng 秉承传统 2809 + 13
秋 qiū 春夏秋冬 1151 2 3
种 zhǒng 各种各样 57 3 3
科 kē 科学证据 277 2 3
秒 miǎo 最后一秒 2028 5 3
秘 mì 保守秘密 896 4 3
租 zū 出租车 1397 2 3
秤 chèng 天秤座 3737 + 3
秦 Qín 秦始皇 1394 + 1
秧 yāng 水稻秧苗 3522 + 3
秩 zhì 保持秩序 1749 + 3
秫 shú 高粱秫米 5884 n 3
积 jī 积累经验 728 3 3
称 chēng 被称为 449 2 3
秸 jiē 小麦秸秆 3840 n 3
移 yí 移民签证 880 4 3
秽 huì 淫秽物品 3096 + 3
稀 xī 人烟稀少 1788 + 3
程 chéng 编程语言 314 3 3
稍 shāo 稍微有点 1373 5 3
税 shuì 免税商店 781 6 3
稚 zhì 太幼稚了 2720 + 3
稠 chóu 人口稠密 3367 + 3
稣 sū 耶稣爱你 2292 n 3
稳 wěn 稳定增长 1055 4 3
稻 dào 水稻田 2529 + 3
稼 jià 收获庄稼 2800 + 3
稽 jī 滑稽可笑 2427 + 3
稿 gǎo 提交稿件 1587 6 3
穆 mù 穆斯林 1683 + 3
穗 suì 玉米穗 3378 n 3
穴 xué 洞穴壁画 1940 + 1
究 jiū 研究课题 429 4 1
穷 qióng 无穷无尽 1343 4 1
穹 qióng 浩渺苍穹 3521 n 1
空 kōng 空前绝后 272 2 1
穿 chuān 穿上衣服 785 1 1
突 tū 科学突破 484 3 1
窃 qiè 入室盗窃 2103 + 1
窄 zhǎi 心胸狭窄 2244 + 1
窈 yǎo 窈跳淑女 4541 n 1
窍 qiào 学会窍门 3020 + 1
窑 yáo 五大名窑 2342 + 1
窒 zhì 窒息而死 3235 + 1
窕 tiǎo 窈窕淑女 4684 n 1
窖 jiào 地窖储存 3317 n 1
窗 chuāng 打开窗户 1074 4 1
窘 jiǒng 生活窘迫 2979 + 1
窜 cuàn 四处逃窜 2461 + 1
窝 wō 狗进狗窝 1962 + 1
窟 kū 云冈石窟 2924 + 1
窥 kuī 窥探隐私 2748 + 1
窦 dòu 鼻窦堵塞 2895 n 1
窿 lóng 穿个窟窿 3845 + 1
立 lì 独立国家 197 3 2
竖 shù 竖起耳朵 2505 + 1
站 zhàn 站稳脚跟 544 1 3
竞 jìng 竞争激烈 1100 5 1
竟 jìng 竟然忘了 706 4 1
章 zhāng 出口成章 539 3 1
竣 jùn 工程竣工 3704 + 3
童 tóng 童话故事 1229 4 1
竭 jié 竭尽全力 1987 + 3
端 Duān 端午节 916 6 3
竹 zhú 一根竹竿 1588 5 3
竺 zhú 天竺葵 3439 n 1
竿 gān 钓鱼竿 2934 + 1
笃 dǔ 笃信真理 3207 n 1
笆 bā 篱笆 3617 n 1
笈 jí 负笈游学 3662 n 1
笋 sǔn 雨后春笋 3455 n 1
笑 xiào 哈哈大笑 346 1 1
笔 bǐ 一支铅笔 956 2 1
笙 shēng 吹起芦笙 3891 n 1
笛 dí 竹笛演奏 2561 + 1
笠 lì 一顶斗笠 3278 n 1
笤 tiáo 用笤帚扫 4957 n 1
符 fú 标点符号 1205 4 1
笨 bèn 笨鸟先飞 2323 4 1
第 dì ﻿第一人称 114 1 1
笺 jiān 信笺纸 3731 n 1
笼 lóng 挂上灯笼 1928 + 1
等 děng 男女平等 158 1 1
筋 jīn 面筋过敏 2252 + 1
筏 fá 划着竹筏 3785 n 1
筐 kuāng 一箩筐 3419 + 1
筑 zhù 建筑学 1130 5 1
筒 tǒng 录音话筒 2088 + 1
答 dá 回答问题 559 1 1
策 cè 经济政策 714 6 1
筛 shāi 筛选出来 3388 + 1
筝 zhēng 放风筝 3436 + 1
筲 shāo 竹制筲箕 6158 n 1
筷 kuài 筷子勺子 3110 2 1
筹 chóu 婚礼筹备 1677 + 1
签 qiān 伪造签名 1254 5 1
简 jiǎn 简单生活 716 3 1
箍 gū 金箍棒 3764 n 1
箕 jī 竹簸箕 4357 n 1
算 suàn 精打细算 403 2 1
管 guǎn 经济管理 252 3 1
箩 luó 一箩筐 4446 n 1
箫 xiāo 吹箫乞食 3634 n 1
箭 jiàn 火箭发射 1496 6 1
箱 xiāng 海尔冰箱 1453 3 1
箴 zhēn 领悟箴言 4285 n 1
篆 zhuàn 篆刻印章 4254 n 1
篇 piān 千篇一律 1008 2 1
篓 lǒu 竹编背篓 4012 n 1
篙 gāo 用篙撑船 4628 n 1
篝 gōu 点燃篝火 4336 n 1
篡 cuàn 篡改证据 3406 n 1
篮 lán 打篮球 2357 2 1
篱 lí 篱笆 3158 n 1
篷 péng 搭起帐篷 2579 + 1
簇 cù 一簇鲜花 2896 + 1
簧 huáng 弹簧床垫 3370 n 1
簸 bǒ 上下颠簸 3586 n 1
簿 bù 户口簿 2848 n 1
籁 lài 天籁之音 4150 n 1
籍 jí 文学书籍 1579 5 1
米 mǐ 一碗米饭 575 1 13
类 lèi 动物种类 311 3 1
籽 zǐ 菜籽油 3567 n 3
粉 fěn 粉红色 1498 6 3
粑 bā 糖油粑粑 4587 n 3
粒 lì 一粒沙子 1714 + 3
粕 pò 去其糟粕 4655 n 3
粗 cū 粗糙 1414 4 3
粘 zhān 粘贴邮票 2240 + 3
粟 sù 罂粟花 2883 n 1
粤 Yuè 广东：粤 3151 + 1
粥 zhōu 白米粥 3021 6 4
粪 fèn 粪便尿液 2884 + 1
粮 liáng 粮食产量 1303 4 3
粱 liáng 高粱品种 3599 n 1
粹 cuì 纯粹感情 1736 + 3
粼 lín 波光粼粼 4286 n 3
粽 zòng 豆沙粽子 5076 + 3
精 jīng 集中精神 435 3 3
糊 hú 模糊不清 1393 5 3
糕 gāo 生日蛋糕 2413 5 3
糖 táng 糖尿病 1746 3 3
糗 qiǔ 闹了糗事 6352 n 3
糙 cāo 粗糙不平 3118 + 3
糜 mí 尸体糜烂 3713 n 8
糟 zāo 真糟糕！ 1918 5 3
糠 kāng 米糠产品 4169 n 3
糯 nuò 糯米糕 4208 n 3
系 xì 亲密关系 216 1 1
紊 wěn 有条不紊 3113 + 1
素 sù 化学元素 661 6 1
索 suǒ 搜索引擎 805 5 1
紧 jǐn 紧急情况 560 3 1
紫 zǐ 紫薯红薯 1646 5 1
累 lèi 我累死了 1323 1 1
絮 xù 柳絮飘飘 3125 + 1
繁 fán 繁荣社会 1296 5 1
纂 zuǎn 编纂词典 3536 n 1
纠 jiū 纠正发音 1723 6 3
红 hóng 五星红旗 502 2 3
纤 xiān 含有纤维 2106 + 3
约 yuē 跟他约会 424 3 3
级 jí 三年级 415 2 3
纪 jì 纪念品 584 3 3
纫 rèn 缝纫机 4173 n 3
纬 wěi 地理纬度 2697 + 3
纯 chún 纯黄金 1125 4 3
纱 shā 婚纱照 2430 + 3
纲 gāng 文章提纲 1934 5 3
纳 nà 归纳要点 684 6 3
纵 zòng 纵横交错 1236 6 3
纶 lún 涤纶纤维 3560 n 3
纷 fēn 纷纷落下 1181 4 3
纸 zhǐ 纸上谈兵 1020 2 3
纹 wén 脸上皱纹 1768 + 3
纺 fǎng 纺织厂 2409 + 3
纽 Niǔ 美国纽约 1767 + 3
线 xiàn 查找线索 430 3 3
练 liàn 练习题 1005 2 3
组 zǔ 小组讨论 358 2 3
绅 shēn 绅士风度 2554 + 3
细 xì 仔细考虑 597 4 3
织 zhī 纺织行业 578 5 3
终 zhōng 起点终点 558 3 3
绊 bàn 绊脚石 3183 n 3
绍 shào 介绍朋友 1234 1 3
绎 yì 络绎不绝 3015 + 3
经 jīng 经济发展 62 2 3
绑 bǎng 被绑架了 2421 + 3
绒 róng 羽绒服 2678 5 3
结 jié 我结婚了 236 2 3
绕 rào 绕了一圈 1485 5 3
绘 huì 描绘景色 1809 6 3
给 gěi 送给你 180 1 3
绚 xuàn 绚丽多彩 3711 n 3
绛 jiàng 深绛红色 3987 n 3
络 luò 络绎不绝 1118 4 3
绝 jué 空前绝后 562 3 3
绞 jiǎo 绞尽脑汁 2672 + 3
统 tǒng 美国总统 264 4 3
绢 juàn 用手绢擤 2385 n 3
绣 xiù 绣花手帕 2434 + 3
绥 suí 绥靖政策 2791 n 3
继 jì 继续下去 655 3 3
绩 jì 考试成绩 1547 2 3
绪 xù 情绪低落 1413 6 3
续 xù 继续学习 552 3 3
绮 qǐ 绮丽风光 3565 n 3
绯 fēi 绯闻女孩 3862 + 3
绰 chuò 叫他绰号 2930 + 3
绳 shéng 拉紧绳子 1983 + 3
维 wéi 扫二维码 520 4 3
绵 mián 海绵宝宝 2186 + 3
绶 shòu 奖章绶带 4098 n 3
绷 běng 紧绷包扎 2978 + 3
绸 chóu 丝绸之路 2635 + 3
综 zōng 综上所述 1425 4 3
绽 zhàn 花朵绽放 3130 + 3
绿 lǜ 红绿灯 1088 2 3
缀 zhuì 点缀其间 3002 + 3
缄 jiān 缄默不语 3908 n 3
缅 Miǎn 缅甸猫 2676 + 3
缆 lǎn 铺设电缆 2821 + 3
缉 jī 通缉令 3165 + 3
缎 duàn 红色绸缎 3108 n 3
缓 huǎn 缓解压力 1111 4 3
缔 dì 缔结条约 2688 + 3
缕 lǚ 千丝万缕 2894 + 3
编 biān 编织毛衣 858 4 3
缘 yuán 被边缘化 1274 6 3
缚 fù 束缚手脚 2577 + 3
缝 féng 裁缝做衣 1852 + 3
缠 chán 缠绕树干 2046 + 3
缤 bīn 五彩缤纷 3795 + 3
缨 yīng 红缨枪 4136 n 3
缩 suō 压缩文件 1304 4 3
缪 móu 未雨绸缪 3286 n 3
缭 liáo 眼花缭乱 3637 n 3
缮 shàn 修缮房屋 3981 n 3
缰 jiāng 拉紧缰绳 3855 n 3
缴 jiǎo 缴纳学费 1834 + 3
缸 gāng 浴缸放水 2817 + 3
缺 quē 完美无缺 875 3 3
罂 yīng 罂粟籽 4374 n 1
罐 guàn 打开罐头 2410 + 3
网 wǎng 互联网 605 1 6
罕 hǎn 罕见病例 2221 + 1
罗 Luó 古罗马 392 + 1
罚 fá 严厉惩罚 1215 5 1
罢 bà 停手罢工 1305 6 1
罩 zhào 笼罩大地 1978 + 1
罪 zuì 犯罪行为 718 6 1
置 zhì 确切位置 677 4 1
署 shǔ 部署军队 1379 + 1
罹 lí 罹患癌症 4168 n 1
羁 jī 羁押候审 3297 n 1
羊 yáng 羊肉串儿 1337 3 1
羌 Qiāng 羌族碉楼 3509 n 8
美 měi 美丽风景 151 3 1
羔 gāo 小羊羔子 3604 n 1
羚 líng 非洲羚羊 3859 n 3
羞 xiū 害羞孩子 2048 + 8
羡 xiàn 很羡慕你 2732 + 1
群 qún 一群绵羊 570 3 3
羲 Xī 伏羲八卦 3942 n 1
羹 gēng 分一杯羹 3907 n 1
羽 yǔ 打羽毛球 1865 5 3
翁 wēng 赛翁失马 2112 + 1
翅 chì 展开翅膀 2066 + 10
翌 yì 翌日清晨 3708 n 1
翎 líng 孔雀翎 3417 n 3
翔 xiáng 展翅飞翔 2184 + 3
翘 qiào 翘起尾巴 2992 + 10
翟 Zhái 翟志刚 3919 n 1
翠 cuì 翡翠手镯 2177 + 1
翡 fěi 翡翠饰品 4135 n 1
翩 piān 翩翩起舞 3234 n 3
翰 hàn 他叫约翰 1881 n 3
翻 fān 翻天覆地 1027 4 3
翼 yì 小心翼翼 1294 + 1
耀 yào 耀眼夺目 1804 6 3
老 lǎo 老马识途 179 1 1
考 kǎo 通过考试 495 1 8
者 zhě 新闻记者 103 2 8
耆 qí 年迈耆老 3779 n 1
而 ér 擦肩而过 36 2 12
耍 shuǎ 玩耍嬉戏 2260 + 1
耐 nài 吃苦耐劳 1409 5 3
耕 gēng 用锄耕田 1850 + 3
耗 hào 耗时耗力 1730 6 3
耘 yún 耕耘农田 4035 n 3
耙 pá 耙起树叶 4126 n 3
耳 ěr 洗耳恭听 887 4 13
耶 Yē 耶稣复活 1174 n 3
耷 dā 耳朵耷拉 4120 n 1
耸 sǒng 耸了耸肩 2163 + 1
耻 chǐ 不耻下问 2169 + 3
耽 dān 耽误时间 2658 + 3
耿 gěng 耿耿于怀 2687 + 3
聂 Niè 聂卫平 2797 n 1
聆 líng 聆听教诲 3770 n 3
聊 liáo 和他聊天 1932 4 3
聋 lóng 天生耳聋 2873 + 1
职 zhí 全职工作 616 3 3
联 lián 互联网 356 3 3
聘 pìn 招聘人才 2253 6 3
聚 jù 家庭聚会 1306 4 1
聪 cōng 聪明伶俐 1669 5 3
肃 sù 严肃认真 1518 5 1
肄 yì 肄业证书 5563 n 3
肆 sì 肆无忌惮 2445 + 3
肇 zhào 肇事逃逸 3206 + 1
肉 ròu 牛肉拉面 1009 1 13
肋 lèi 肋骨骨折 3324 n 3
肌 jī 肌肉发达 1935 5 3
肖 xiào 十二生肖 2019 + 1
肘 zhǒu 捉襟见肘 3010 n 3
肚 dù 肚子饿了 1800 4 3
肛 gāng 肛门直肠 3394 n 3
肝 gān 肝脏解毒 1760 6 3
肠 cháng 一根香肠 1921 5 3
股 gǔ 股票市场 644 6 3
肢 zhī 四肢瘫痪 2335 + 3
肤 fū 保养皮肤 1790 5 3
肥 féi 我要减肥 1620 4 3
肩 jiān 擦肩而过 1415 5 8
肪 fáng 油和脂肪 3005 + 3
肮 āng 肮脏不堪 3194 n 3
肯 kěn 吃肯德基 860 5 1
育 yù 教育部门 609 2 1
肴 yáo 美味佳肴 3513 n 1
肺 fèi 新冠肺炎 2044 6 3
肾 shèn 肾上腺素 2361 + 1
肿 zhǒng 良性肿瘤 1792 6 3
胀 zhàng 通货膨胀 2083 + 3
胁 xié 严重威胁 1494 6 3
胃 wèi 胃肠道 1957 5 1
胆 dǎn 胆小鬼 1352 5 3
背 bèi 背景音乐 787 2 1
胎 tāi 轮胎漏气 1984 + 3
胖 pàng 胖嘟嘟的 1893 3 3
胚 pēi 胚胎细胞 2928 + 3
胜 shèng 名胜古迹 743 3 3
胞 bāo 癌细胞 1341 6 3
胡 hú 胡说八道 806 5 3
胧 lóng 朦胧夜色 2837 + 3
胯 kuà 胯下之辱 4526 n 3
胰 yí 胰岛素 3238 n 3
胱 guāng 膀胱感染 3847 n 3
胳 gē 胳膊肘 2490 + 3
胶 jiāo 用胶水粘 2170 5 3
胸 xiōng 胸部丰满 1356 4 3
胺 àn 多巴胺 3433 n 3
能 néng 难能可贵 35 1 3
脂 zhī 脂肪含量 2206 + 3
脆 cuì 干脆利落 1976 5 3
脉 mài 来龙去脉 1594 + 3
脊 jí 脊椎动物 2228 + 1
脏 zàng 内脏器官 1634 2 3
脐 qí 剪断脐带 3830 n 3
脑 nǎo 一台电脑 646 1 3
脓 nóng 破裂脓包 3376 n 3
脖 bó 卡住脖子 2175 + 3
脚 jiǎo 大手大脚 790 2 3
脯 pú 挺起胸脯 3017 n 3
脱 tuō 脱下鞋子 943 4 3
脸 liǎn 愁眉苦脸 615 2 3
脾 pí 发了脾气 2223 5 3
腆 tiǎn 腼腆害羞 4025 n 3
腊 là 古希腊 1497 + 3
腋 yè 腋窝很臭 3593 n 3
腌 yān 用盐腌菜 4219 n 3
腐 fǔ 臭豆腐 1576 4 8
腑 fǔ 五脏六腑 3491 n 3
腓 féi 小腿腓骨 3543 n 3
腔 qiāng 口腔卫生 1914 + 3
腕 wàn 手腕关节 2581 + 3
腥 xīng 鱼腥味 2747 + 3
腩 nǎn 罐焖牛腩 6979 n 3
腭 è 腭裂手术 5294 n 3
腮 sāi 腮帮子红 3185 n 3
腰 yāo 弯腰捡起 1458 4 3
腹 fù 患有腹泻 1589 + 3
腺 xiàn 乳腺癌 2257 + 3
腻 nì 油腻食物 2819 + 3
腼 miǎn 腼腆害羞 4178 n 3
腾 téng 牙痛折腾 1635 + 8
腿 tuǐ 两腿交叉 1351 2 3
膀 bǎng 拍拍肩膀 1941 + 3
膊 bó 胳膊肘 2440 + 3
膏 gāo 牙膏牙刷 2673 + 1
膘 biāo 膘肥体壮 4884 n 3
膛 táng 挺起胸膛 2865 + 3
膜 mó 眼角膜 1945 6 3
膝 xī 单膝跪下 2307 + 3
膨 péng 通货膨胀 2415 + 3
膳 shàn 营养膳食 3300 + 3
膺 yīng 荣膺奖项 3783 n 8
臀 tún 扭动臀部 3199 n 1
臂 bì 摆动手臂 1688 + 1
臃 yōng 肥胖臃肿 4439 n 3
臊 sào 害臊脸红 4389 + 3
臣 chén 朝廷大臣 1138 + 9
自 zì 自言自语 43 2 13
臭 chòu 臭豆腐 2105 5 1
至 zhì 至关重要 267 3 1
致 zhì 导致失败 524 4 3
臻 zhēn 日臻完善 3298 n 3
臼 jiù 臼齿咀嚼 4066 n 12
舀 yǎo 用勺舀水 4302 n 1
舅 jiù 舅舅阿姨 2375 + 1
舆 yú 舆论压力 2341 + 7
舌 shé 口舌之战 1958 6 1
舍 shě 大学宿舍 1344 5 1
舒 shū 感觉舒服 1459 2 3
舔 tiǎn 狗舔主人 3348 + 3
舜 shùn 舜日尧天 3182 n 1
舞 wǔ 唱歌跳舞 1144 3 1
舟 zhōu 刻舟求剑 2224 + 13
航 háng 南方航空 773 4 3
般 bān 一般来说 629 2 3
舰 jiàn 海军舰艇 851 6 3
舱 cāng 在船舱里 1846 + 3
舵 duò 无舵之舟 3088 + 3
舶 bó 国际船舶 2318 + 3
舷 xián 右舷船头 3109 n 3
船 chuán 停泊船只 614 2 3
艇 tǐng 潜水艇 1372 + 3
艘 sōu 一艘船 1470 + 3
良 liáng 良好习惯 835 4 1
艰 jiān 艰难选择 1647 5 3
色 sè 五颜六色 304 2 1
艳 yàn 色彩鲜艳 2104 5 3
艺 yì 艺术风格 786 3 1
艾 ài 艾滋病 1291 + 1
艿 nǎi 芋艿蒸熟 4668 n 1
节 jié 春节快乐 514 2 1
芋 yù 烫手山芋 4246 n 1
芍 sháo 芍药花 4361 n 1
芒 máng 耀眼光芒 2251 + 1
芙 fú 芙蓉花 2627 n 1
芜 wú 荒芜小岛 3239 n 1
芝 zhī 黑芝麻 2150 + 1
芡 qiàn 勾芡酱汁 5200 n 1
芥 jiè 芥末酱 4002 n 1
芦 lú 冰糖葫芦 2477 + 1
芬 fēn 浓郁芬芳 1890 + 1
芭 bā 芭蕾舞 3126 + 1
芯 xīn 硅芯片 2539 + 1
花 huā 花朵盛开 410 1 1
芳 fāng 玫瑰芳香 1586 + 1
芸 yún 芸芸众生 3099 n 1
芹 qín 芹菜棒 3740 n 1
芽 yá 萌芽时期 2737 + 1
苇 wěi 河边芦苇 3233 n 1
苍 cāng 苍白无力 1728 + 1
苏 sū 经济复苏 590 6 1
苑 yuàn 皇家花苑 2853 n 1
苔 tái 柔软苔藓 3106 n 1
苗 miáo 拔苗助长 1920 + 1
苛 kē 苛刻条件 3095 + 1
苞 bāo 花苞绽放 3798 n 1
苟 gǒu 一丝不苟 2886 n 1
若 ruò 若无其事 651 6 1
苦 kǔ 苦不堪言 634 3 1
苯 běn 芳香苯环 3686 n 1
英 yīng 超级英雄 371 2 1
苹 píng 苹果手机 2478 3 1
茁 zhuó 茁壮成长 4472 n 1
茂 mào 植物茂盛 2309 + 1
范 fàn 范围之内 705 3 1
茄 qié 番茄鸡蛋 3136 6 1
茅 Máo 茅台酒 2339 + 1
茉 mò 茉莉花茶 4064 n 1
茎 jīng 长茎玫瑰 2675 + 1
茗 míng 饮茶品茗 4030 n 1
茜 qiàn 茜草红 3097 n 1
茧 jiǎn 破茧成蝶 3608 n 1
茨 cí 盖茨基金 1936 n 1
茫 máng 茫然失措 1951 + 1
茬 chá 爱找茬儿 3790 n 1
茴 huí 茴香籽 5388 n 1
茵 yīn 绿草如茵 2765 n 1
茶 chá 茉莉花茶 1272 1 1
茸 róng 毛茸茸 3343 n 1
茹 rú 含辛茹苦 3532 n 1
荆 jīng 荆棘密丛 2551 + 3
草 cǎo 打草惊蛇 789 2 1
荐 jiàn 向你推荐 2367 + 1
荒 huāng 荒谬结论 1328 + 1
荔 lì 一颗荔枝 3848 n 1
荚 jiá 豌豆荚 4119 n 1
荞 qiáo 荞麦面条 5033 n 1
荟 huì 芦荟胶 4007 n 1
荠 jì 野荠菜 5681 n 1
荡 dàng 政治动荡 1424 + 1
荣 róng 荣誉学位 993 5 1
荤 hūn 一荤一素 4295 n 1
荧 yíng 荧光灯 3400 + 1
荫 yīn 橡树树荫 2669 + 1
药 yào 吃感冒药 662 2 1
荷 Hé 荷兰风车 1427 + 1
荸 bí 剥荸荠皮 6095 n 1
荼 tú 如火如荼 3930 n 1
莉 lì 茉莉花茶 1878 n 1
莎 shā 伊丽莎白 2125 n 1
莓 méi 红色草莓 4076 n 1
莞 guǎn 广东东莞 4260 n 1
莫 mò 莫名其妙 955 + 1
莱 lái 好莱坞 1196 n 1
莲 lián 莲藕片 1837 + 1
获 huò 获得成功 688 4 1
莹 yíng 晶莹露珠 2668 + 1
莺 yīng 莺歌燕舞 2902 n 1
莽 mǎng 鲁莽冲动 2714 + 1
菁 jīng 芜菁甘蓝 3321 n 1
菇 gū 有毒蘑菇 3287 + 1
菊 jú 菊花茶 2509 + 1
菌 jūn 细菌感染 1733 6 1
菜 cài 蔬菜水果 1266 1 1
菠 bō 菠萝汁 4540 n 1
菩 Pú 观音菩萨 2209 + 1
菱 líng 三菱汽车 2802 n 1
菲 Fēi 菲律宾 1418 n 1
萃 cuì 精英荟萃 3503 n 1
萄 táo 葡萄酒 2210 5 1
萌 méng 萌芽阶段 2879 + 1
萍 píng 杨丽萍 2180 + 1
萎 wěi 花枯萎了 2757 + 1
萝 luó 白萝卜 2745 + 1
萤 yíng 萤火虫 3434 n 1
营 yíng 经营商店 536 3 1
萦 yíng 萦绕于心 3903 n 2
萧 xiāo 大萧条 1898 + 1
萨 sà 萨克斯 1046 + 1
落 luò 飞机降落 496 3 1
葆 bǎo 永葆青春 3988 n 1
著 zhù 著名作家 777 4 1
葛 gé 诸葛亮 1919 n 1
葡 Pú 葡萄牙 2130 5 1
董 dǒng 董事会 1629 + 1
葩 pā 奇葩异彩 5158 n 1
葫 hú 糖葫芦 3246 n 1
葬 zàng 埋葬死者 2060 + 1
葱 cōng 葱油饼 2907 + 1
葵 kuí 向日葵 3580 n 1
蒂 dì 根深蒂固 1429 + 1
蒋 Jiǎng 蒋欣演员 1172 n 1
蒙 méng 内蒙古 1039 6 1
蒜 suàn 鸡毛蒜皮 3444 + 1
蒲 pú 蒲公英 2344 n 1
蒸 zhēng 水蒸发完 2358 + 1
蒿 hāo 茼蒿 4305 n 1
蓄 xù 储蓄账户 1985 + 1
蓉 róng 芙蓉花 2779 n 1
蓑 suō 草编蓑衣 4481 n 1
蓓 bèi 含苞蓓蕾 3922 n 1
蓖 bì 蓖麻油 4955 n 2
蓝 lán 蓝天白云 1190 2 1
蓦 mò 蓦然回首 3160 n 1
蓬 péng 朝气蓬勃 2398 + 1
蔑 miè 轻蔑一笑 2575 + 1
蔓 màn 蔓延全国 2829 + 1
蔗 zhè 榨甘蔗汁 3945 n 1
蔚 wèi 蔚蓝天空 3188 n 1
蔡 Cài 蔡国强 2226 n 1
蔫 niān 花卉萎蔫 4737 n 1
蔬 shū 蔬菜水果 2721 5 1
蔼 ǎi 和蔼可亲 3460 + 1
蔽 bì 隐蔽位置 2121 + 1
蕉 jiāo 香蕉皮 3104 3 1
蕊 ruǐ 花心花蕊 3265 n 1
蕨 jué 蕨类植物 4289 n 1
蕴 yùn 蕴含深意 2633 + 1
蕾 lěi 芭蕾舞 3329 + 1
薄 báo 薄弱环节 1433 4 1
薇 Wēi 赵薇歌曲 3193 n 1
薛 Xuē 薛宝钗 1953 n 1
薪 xīn 工资薪水 2167 6 1
薯 shǔ 炸鱼薯条 3363 6 1
薰 xūn 薰衣草 4055 n 1
藉 jí 一片狼藉 2615 n 1
藏 cáng 收藏古董 907 6 1
藐 miǎo 藐视权威 3755 n 1
藓 xiǎn 苔藓植物 4187 n 1
藕 ǒu 莲藕粥 3920 n 1
藤 téng 顺藤摸瓜 2200 + 1
藻 zǎo 海藻丛生 2652 + 1
蘑 mó 野生蘑菇 3528 + 1
蘸 zhàn 面包蘸汤 3944 + 1
虎 hǔ 骑虎难下 1083 5 8
虏 lǔ 释放俘虏 2475 + 8
虐 nüè 遭受虐待 2665 + 8
虑 lǜ 周全考虑 901 4 8
虔 qián 虔诚信仰 2832 + 8
虚 xū 虚假朋友 1071 5 8
虞 Yú 史称虞舜 2936 n 8
虢 Guó 周朝虢国 4827 n 3
虫 chóng 有翼昆虫 1287 4 1
虱 shī 头皮虱子 4013 n 11
虹 hóng 雨后彩虹 2176 + 3
虽 suī 虽然但是 504 2 1
虾 xiā 捕捞龙虾 2847 + 3
蚀 shí 金属腐蚀 2625 + 3
蚁 yǐ 蚂蚁上树 2517 n 3
蚂 mǎ 蚂蚁窝 2888 n 3
蚊 wén 蚊子叮咬 2940 + 3
蚌 bàng 鹬蚌相争 3947 n 3
蚓 yǐn 蚯蚓蠕动 4102 n 3
蚕 cán 桑蚕茧 2787 n 1
